NAME,StartEast,StartNorth,StartElv,EndEast,EndNorth,EndElv,CYCLE_ID,MACHINE_ID,START_COORD_ID,END_COORD_ID,SESSION_ID,TIME_START,FORWARD_TOTAL_TIME,REVERSE_TOTAL_TIME,FORWARD_MOVING_TIME,REVERSE_MOVING_TIME,FORWARD_DISTANCE,REVERSE_DISTANCE,CUT_POS,CUT_NEG,FILL_POS,FILL_NEG,CUT_TO_POS,CUT_TO_NEG,FILL_TO_POS,FILL_TO_NEG,VERSION,LAST_CHANGED
DZ2156,647423,7516817,90.96,647433,7516817,89.53,1301862,16,2569409,2569410,,2023-04-29 08:23:08.000,19,9,19,9,9,10,61.85,7.13,46.77,29.3,53.9,91.15,0,0,1,2023-04-29 08:42:36.857
DZ2156,647393,7516818,86.73,647410,7516818,89.95,1301863,16,2569411,2569412,,2023-04-29 08:28:13.000,23,28,23,28,16,30,199.97,82.58,252.73,100.53,335.31,300.5,0,0,1,2023-04-29 08:42:37.120
DZ2156,647296,7516817,90.32,647349,7516818,83.21,1301867,16,2569419,2569420,,2023-04-29 08:41:28.000,93,40,93,40,52,54,275.3,54.34,579.26,372.14,486.12,510.15,137.29,147.48,1,2023-04-29 09:12:35.860
DZ2156,647301,7516817,89.5,647350,7516818,83.07,1301868,16,2569421,2569422,,2023-04-29 08:43:41.000,82,48,82,48,49,68,51.52,26.37,61.65,58.73,76.41,97.97,12.28,11.61,1,2023-04-29 09:12:35.957
DZ8035,647404,7516867,84.54,647424,7516867,87.81,1301859,2,2569403,2569404,181733,2023-04-29 08:33:27.000,33,28,33,28,20,26,280.22,46.46,162.26,88.89,208.72,369.11,0,0,2,2023-04-29 18:42:35.490
DZ8035,647401,7516867,83.94,647430,7516867,89.07,1301860,2,2569405,2569406,181733,2023-04-29 08:34:28.000,51,25,51,25,29,18,20.88,15.1,45.36,46.14,60.46,67.02,0,0,2,2023-04-29 18:42:35.490
DZ8035,647408,7516867,84.95,647408,7516867,85.05,1301861,2,2569407,2569408,181733,2023-04-29 08:36:37.000,0,0,0,0,0,0,13.27,3.05,37.55,39.55,40.6,52.82,0,0,2,2023-04-29 18:42:35.490
DZ8084,647289,7516893,94.45,647306,7516894,90.69,1301956,4,2569596,2569597,181644,2023-04-29 08:31:05.000,25,126,25,126,16,148,451.95,355.06,42.21,44.88,153.35,168.73,328.1,243.92,1,2023-04-29 10:15:40.460
DZ8084,647289,7516894,94.35,647330,7516893,87.33,1301957,4,2569598,2569599,181644,2023-04-29 08:36:11.000,64,115,64,115,41,150,247.42,202.91,16.88,13.94,132.22,164.35,97.01,87.57,1,2023-04-29 10:15:40.650
DZ8084,647290,7516902,92.48,647436,7516902,90.45,1301958,4,2569600,2569601,181644,2023-04-29 08:39:27.000,169,100,169,100,145,146,249.96,66.14,15.1,12.08,58.82,183.3,78.74,22.42,1,2023-04-29 10:15:40.927
DZ8084,647285,7516902,93.42,647436,7516902,90.47,1301959,4,2569602,2569603,181644,2023-04-29 08:43:56.000,183,106,183,106,151,131,167.84,134.7,42,35.41,74.38,94.41,108.84,102.32,1,2023-04-29 10:15:41.113
