easting,northing,elevation,dataset
647329.47,7516738.99,87.55,t2
647330.47,7516738.99,84.43,t2
647331.47,7516738.99,84.2,t2
647332.47,7516738.99,83.97,t2
647333.47,7516738.99,83.92,t2
647334.47,7516738.99,83.84,t2
647335.47,7516738.99,83.74,t2
647336.47,7516738.99,83.66,t2
647337.47,7516738.99,83.57,t2
647338.47,7516738.99,83.49,t2
647339.47,7516738.99,83.38,t2
647340.47,7516738.99,83.28,t2
647341.47,7516738.99,83.17,t2
647342.47,7516738.99,83.1,t2
647343.47,7516738.99,85.59,t2
647344.47,7516738.99,85.79,t2
647345.47,7516738.99,85.33,t2
647346.47,7516738.99,85.23,t2
647347.47,7516738.99,85.09,t2
647348.47,7516738.99,84.89,t2
647349.47,7516738.99,84.66,t2
647350.47,7516738.99,84.37,t2
647351.47,7516738.99,84.1,t2
647352.47,7516738.99,83.82,t2
647353.47,7516738.99,84.28,t2
647354.47,7516738.99,84.21,t2
647355.47,7516738.99,83.74,t2
647356.47,7516738.99,82.43,t2
647357.47,7516738.99,82.39,t2
647358.47,7516738.99,82.34,t2
647359.47,7516738.99,82.3,t2
647360.47,7516738.99,82.23,t2
647361.47,7516738.99,82.94,t2
647362.47,7516738.99,82.94,t2
647363.47,7516738.99,81.5,t2
647364.47,7516738.99,81.34,t2
647365.47,7516738.99,81.34,t2
647366.47,7516738.99,81.6,t2
647367.47,7516738.99,81.57,t2
647368.47,7516738.99,81.52,t2
647369.47,7516738.99,81.49,t2
647370.47,7516738.99,81.45,t2
647371.47,7516738.99,81.1,t2
647372.47,7516738.99,80.93,t2
647373.47,7516738.99,80.22,t2
647374.47,7516738.99,81.56,t2
