datetime,latitude,longitude,altitude,track,heading,speed,name,code,site
2023-04-29 11:00:03.000,-22.446619868782097,148.43387667547827,142.254,95.917,251.4654,0.567,DZ8032,DZ8032,VER
2023-04-29 11:00:08.000,-22.44661812614292,148.43393191920958,142.826,87.697,251.4654,1.363,DZ8032,DZ8032,VER
2023-04-29 11:00:20.000,-22.44661255682241,148.43388260099118,141.857,274.345,274.34515,1.053,DZ8032,DZ8032,VER
2023-04-29 11:00:26.000,-22.446611232310175,148.433827093813,141.531,275.171,275.17166,0.786,DZ8032,DZ8032,VER
2023-04-29 11:00:31.000,-22.446612824680987,148.4337704537869,141.34,281.031,281.03116,1.31,DZ8032,DZ8032,VER
2023-04-29 11:00:35.000,-22.4466095869007,148.43372198112812,140.61,282.47,282.47055,1.282,DZ8032,DZ8032,VER
2023-04-29 11:00:59.000,-22.446618340411504,148.43367061188806,139.573,268.872,268.8729,1.228,DZ8032,DZ8032,VER
2023-04-29 11:01:05.000,-22.446614664135176,148.4336222272982,137.992,269.298,269.29822,0.737,DZ8032,DZ8032,VER
2023-04-29 11:01:10.000,-22.446611288602124,148.43356592044307,137.221,278.557,278.55722,1.013,DZ8032,DZ8032,VER
2023-04-29 11:01:18.000,-22.446612695504374,148.43351376513533,136.346,268.068,268.06805,0.562,DZ8032,DZ8032,VER
2023-04-29 11:01:32.000,-22.44661778104709,148.4334520118929,134.747,274.294,274.29456,0.97,DZ8032,DZ8032,VER
2023-04-29 11:01:38.000,-22.446625466510763,148.43339242816432,134.363,270.21,270.2105,1.257,DZ8032,DZ8032,VER
2023-04-29 11:01:43.000,-22.44661681132909,148.4334409885775,134.771,87.321,287.03012,1.231,DZ8032,DZ8032,VER
2023-04-29 11:01:47.000,-22.44661707591651,148.43348999899683,134.884,73.816,287.03012,0.971,DZ8032,DZ8032,VER
2023-04-29 11:01:54.000,-22.44661426059238,148.4335413093772,136.45,95.686,287.03012,0.798,DZ8032,DZ8032,VER
2023-04-29 11:01:58.000,-22.446611740281174,148.43359175668934,136.654,90.628,287.03012,1.194,DZ8032,DZ8032,VER
2023-04-29 11:02:03.000,-22.446614553698478,148.43364149586097,137.367,94.935,287.03012,0.788,DZ8032,DZ8032,VER
2023-04-29 11:02:07.000,-22.446621864887014,148.43369171547533,138.786,78.445,287.03012,1.124,DZ8032,DZ8032,VER
2023-04-29 11:02:13.000,-22.446618919579038,148.43374328813564,140.125,85.981,287.03012,1.551,DZ8032,DZ8032,VER
2023-04-29 11:02:19.000,-22.446619815147393,148.43379527401913,140.723,81.97,107.03013,0.86,DZ8032,DZ8032,VER
2023-04-29 11:02:32.000,-22.446624920113496,148.43373837695478,140.088,270.886,270.88602,1.075,DZ8032,DZ8032,VER
2023-04-29 11:02:37.000,-22.446628878781244,148.4336896889476,139.524,279.908,279.90866,1.101,DZ8032,DZ8032,VER
2023-04-29 11:02:41.000,-22.446622732517675,148.4336419471625,138.815,287.475,287.475,1.214,DZ8032,DZ8032,VER
