NAME,StartEast,StartNorth,StartElv,EndEast,EndNorth,EndElv,CYCLE_ID,MACHINE_ID,START_COORD_ID,END_COORD_ID,SESSION_ID,TIME_START,FORWARD_TOTAL_TIME,REVERSE_TOTAL_TIME,FORWARD_MOVING_TIME,REVERSE_MOVING_TIME,FORWARD_DISTANCE,REVERSE_DISTANCE,CUT_POS,CUT_NEG,FILL_POS,FILL_NEG,CUT_TO_POS,CUT_TO_NEG,FILL_TO_POS,FILL_TO_NEG,VERSION,LAST_CHANGED
DZ2156,647297,7516801,90.53,647449,7516801,90.03,1302095,16,2569873,2569874,,2023-04-29 13:03:18.000,455,114,226,114,152,145,188.72,74.49,319.83,272.13,299.38,366.42,94.43,94.94,1,2023-04-29 13:42:39.130
DZ2156,647296,7516801,90.81,647442,7516801,89.84,1302096,16,2569875,2569876,,2023-04-29 13:12:47.000,211,115,211,115,146,147,93.26,36.76,218.94,204.27,191.28,218.03,79.5,64.42,1,2023-04-29 13:42:39.387
DZ2156,647295,7516801,90.88,647443,7516801,89.97,1302097,16,2569877,2569878,,2023-04-29 13:18:13.000,209,115,209,115,147,148,114.05,86.5,192.23,164.32,169.17,187.26,91.11,109.56,1,2023-04-29 13:42:39.607
DZ2156,647294,7516801,91.15,647351,7516801,84.08,1302098,16,2569879,2569880,,2023-04-29 13:27:30.000,94,39,94,39,57,52,105.04,66.37,232.44,190.64,174.33,198.71,96.97,124.48,1,2023-04-29 13:42:39.863
DZ2156,647328,7516800,86.8,647346,7516801,84.27,1302099,16,2569881,2569882,,2023-04-29 13:29:43.000,28,90,28,90,17,115,74.05,64.51,44.62,42.96,62.65,71.86,45.15,46.48,1,2023-04-29 13:42:40.000
DZ2156,647433,7516801,89.4,647444,7516801,90.1,1302100,16,2569883,2569884,,2023-04-29 13:31:41.000,12,9,12,9,10,10,9.99,8.34,1.87,1.93,10.21,11.92,0,0,1,2023-04-29 13:42:40.087
DZ2156,647292,7516801,91.49,647435,7516801,89.22,1302101,16,2569885,2569886,,2023-04-29 13:32:41.000,221,114,221,114,142,147,147.91,121.22,191.58,151.63,189.64,212.25,87.29,123.16,1,2023-04-29 13:42:40.423
DZ2156,647288,7516801,91.78,647338,7516801,85.25,1302128,16,2569939,2569940,,2023-04-29 13:57:55.000,79,89,79,89,50,116,219.36,91.75,610.97,509.64,502.13,566.28,162.72,200.59,1,2023-04-29 14:12:39.967
DZ2157,647291,7516784,91.28,647449,7516784,90.27,1302117,15,2569917,2569918,,2023-04-29 13:05:01.000,427,92,212,92,157,120,70.25,14.85,153.32,115.26,138.1,162.7,22.81,30.07,1,2023-04-29 13:42:46.043
DZ2157,647291,7516775,90.4,647300,7516776,88.89,1302118,15,2569919,2569920,,2023-04-29 13:24:07.000,22,7,22,7,8,8,152.9,21.82,432.36,249.99,424.28,402.63,0.26,29.9,1,2023-04-29 13:42:46.673
DZ2157,647301,7516776,88.63,647405,7516776,86.48,1302119,15,2569921,2569922,,2023-04-29 13:30:59.000,142,79,142,79,103,103,111.37,53.34,318.97,258.85,222.4,254.5,115.72,149.91,1,2023-04-29 13:42:47.217
DZ2157,647307,7516776,88.23,647405,7516776,86.43,1302120,15,2569923,2569924,,2023-04-29 13:34:40.000,121,77,121,77,98,100,49.67,23.28,61.62,58.84,54.09,78.87,29.64,30.81,1,2023-04-29 13:42:47.397
DZ2157,647311,7516776,87.85,647407,7516776,86.3,1302121,15,2569925,2569926,,2023-04-29 13:37:58.000,113,80,113,80,96,102,40.29,30.08,47.67,45.92,50.67,67.47,18.74,27.08,1,2023-04-29 13:42:47.563
DZ2157,647396,7516776,85.91,647413,7516776,86.61,1302122,15,2569927,2569928,,2023-04-29 13:41:11.000,20,17,20,17,17,17,10.19,4.22,18.92,19.05,22.83,27.93,1.31,0.31,1,2023-04-29 13:42:47.633
DZ2157,647318,7516776,86.98,647410,7516776,86.19,1302140,15,2569963,2569964,,2023-04-29 13:53:00.000,106,71,106,71,91,92,153.62,70.33,138.58,114.97,154.56,209.23,59.36,54.35,1,2023-04-29 14:12:46.030
DZ2157,647327,7516776,86.17,647439,7516776,89.78,1302141,15,2569965,2569966,,2023-04-29 13:59:21.000,154,89,154,89,111,113,140.96,85.24,109.96,115.12,146.02,200.96,55.12,49.18,1,2023-04-29 14:12:46.517
DZ8032,647442,7516851,90.06,647442,7516851,90.08,1302102,1,2569887,2569888,181761,2023-04-29 13:10:46.000,50,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2023-04-29 13:42:41.187
DZ8032,647314,7516818,89.84,647328,7516818,87.32,1302103,1,2569889,2569890,181765,2023-04-29 13:24:11.000,19,17,19,17,14,16,82.98,1.66,373.86,158,358.22,237.8,3.18,17.3,2,2023-04-29 23:42:42.490
DZ8032,647293,7516818,91.9,647361,7516818,82.61,1302104,1,2569891,2569892,181765,2023-04-29 13:32:04.000,118,65,118,65,67,83,143.06,55.71,547.2,376.5,519.64,481.11,38.45,83.27,2,2023-04-29 23:42:42.490
DZ8032,647295,7516818,91.48,647376,7516818,82.85,1302105,1,2569893,2569894,181765,2023-04-29 13:35:07.000,141,64,141,64,81,77,77.93,45.23,141.2,120.14,166.79,165.92,32.15,19.64,2,2023-04-29 23:42:42.490
DZ8032,647358,7516818,83.06,647369,7516818,81.92,1302131,1,2569945,2569946,181768,2023-04-29 13:51:50.000,20,10,20,10,10,11,60.73,10.13,352.32,217.35,335.04,260.53,17.55,27.41,2,2023-04-30 00:12:43.010
DZ8035,647339,7516834,84.99,647358,7516835,81.88,1302092,2,2569867,2569868,181764,2023-04-29 13:22:41.000,53,66,53,66,19,79,174.78,59.86,345.07,270.99,358.41,395.96,49.81,46.52,2,2023-04-29 23:42:38.430
DZ8035,647320,7516835,87.91,647320,7516835,87.94,1302093,2,2569869,2569870,181764,2023-04-29 13:29:26.000,0,0,0,0,0,0,84.33,48.92,208.79,204.09,213.33,253.2,35.22,44.38,2,2023-04-29 23:42:38.430
DZ8035,647368,7516834,81.89,647398,7516834,85.18,1302094,2,2569871,2569872,181764,2023-04-29 13:36:50.000,48,22,47,22,29,25,136.08,77.67,317.06,254.26,326.56,329.98,60.36,68.17,2,2023-04-29 23:42:38.430
DZ8035,647320,7516834,87.87,647378,7516834,82.21,1302123,2,2569929,2569930,181764,2023-04-29 13:40:35.000,77,68,77,68,57,86,116.22,35.53,304.51,214.38,263.8,288.36,42.24,76.24,1,2023-04-29 14:12:37.170
DZ8035,647322,7516836,87.23,647365,7516834,81.89,1302124,2,2569931,2569932,181767,2023-04-29 13:51:13.000,86,23,86,23,42,28,183.82,85.66,319.1,281.57,368.67,434.86,30.53,36.09,2,2023-04-30 00:12:38.667
DZ8035,647322,7516833,87.49,647338,7516834,85.45,1302125,2,2569933,2569934,181767,2023-04-29 13:53:26.000,17,87,17,87,15,105,27.44,33.89,46.42,42.04,69.31,62.62,6.86,11,2,2023-04-30 00:12:38.667
DZ8035,647313,7516833,89.24,647421,7516834,88.29,1302126,2,2569935,2569936,181767,2023-04-29 13:59:53.000,163,56,163,56,107,70,177.27,78.15,446.54,351.32,415.49,453.21,75.38,109.2,2,2023-04-30 00:12:38.667
DZ8036,647282,7516897,95.71,647420,7516901,87.41,1302106,3,2569895,2569896,181766,2023-04-29 13:15:10.000,213,85,213,85,138,158,509.57,178.81,490.35,291.34,474.5,604.57,196.34,194.66,2,2023-04-29 23:42:45.253
DZ8036,647435,7516900,88.75,647438,7516901,88.83,1302107,3,2569897,2569898,181766,2023-04-29 13:20:21.000,6,3,6,3,2,2,11.94,2.17,21.19,10,23.36,21.94,0,0,2,2023-04-29 23:42:45.253
DZ8036,647430,7516899,88.36,647438,7516901,88.91,1302108,3,2569899,2569900,181766,2023-04-29 13:20:31.000,16,7,16,7,8,8,13.68,1.56,12.54,13.36,14.1,27.04,0,0,2,2023-04-29 23:42:45.253
DZ8036,647434,7516897,88.98,647439,7516903,88.92,1302109,3,2569901,2569902,181766,2023-04-29 13:23:27.000,19,9,19,9,8,9,89.83,42.9,96.39,70.52,139.29,160.35,0,0,2,2023-04-29 23:42:45.253
DZ8036,647441,7516890,90.41,647443,7516894,90.19,1302110,3,2569903,2569904,181766,2023-04-29 13:24:15.000,6,9,6,9,4,4,23.36,6.01,31.02,19.85,37.03,43.21,0,0,2,2023-04-29 23:42:45.253
DZ8036,647415,7516891,87.68,647431,7516891,89.12,1302111,3,2569905,2569906,181766,2023-04-29 13:26:06.000,23,28,23,28,15,20,119.35,59.36,90.79,42.31,150.15,161.66,0,0,2,2023-04-29 23:42:45.253
DZ8036,647427,7516891,88.37,647430,7516892,89.01,1302112,3,2569907,2569908,181766,2023-04-29 13:27:37.000,3,5,3,5,2,2,44.74,19.92,2.21,7.06,22.13,51.8,0,0,2,2023-04-29 23:42:45.253
DZ8036,647424,7516891,87.93,647430,7516892,89.21,1302113,3,2569909,2569910,181766,2023-04-29 13:27:54.000,8,6,8,6,6,6,16.28,8.66,1.83,2.54,10.49,18.82,0,0,2,2023-04-29 23:42:45.253
DZ8036,647415,7516899,86.72,647432,7516890,89.64,1302114,3,2569911,2569912,181766,2023-04-29 13:29:43.000,23,38,23,38,19,30,65.12,58.47,50.26,45.69,108.73,110.81,0,0,2,2023-04-29 23:42:45.253
DZ8036,647413,7516892,87.15,647443,7516908,89.73,1302115,3,2569913,2569914,181766,2023-04-29 13:30:44.000,45,23,45,23,34,27,34.75,25.29,51.95,19.8,77.24,54.55,0,0,2,2023-04-29 23:42:45.253
DZ8036,647412,7516891,87.19,647434,7516901,88.67,1302116,3,2569915,2569916,181766,2023-04-29 13:32:29.000,36,25,36,25,23,26,80.29,32.25,31.11,29.16,63.36,109.45,0,0,2,2023-04-29 23:42:45.253
DZ8036,647290,7516898,94.24,647440,7516904,88.94,1302134,3,2569951,2569952,181766,2023-04-29 13:39:32.000,254,103,240,103,149,133,255.82,171.04,187.91,165.29,226.85,286.57,134.54,132.1,1,2023-04-29 14:12:43.800
DZ8036,647295,7516898,93.27,647423,7516901,87.45,1302135,3,2569953,2569954,181769,2023-04-29 13:45:29.000,204,79,204,79,128,144,113.74,76.52,100.77,92.22,111.05,143.79,62.17,66.24,2,2023-04-30 00:12:45.220
DZ8036,647299,7516898,92.57,647353,7516898,84.99,1302136,3,2569955,2569956,181769,2023-04-29 13:53:46.000,92,27,92,27,53,49,133.96,79.32,74.75,88.75,83.2,146.68,76.03,70.87,2,2023-04-30 00:12:45.220
DZ8036,647301,7516898,92.33,647348,7516898,85.51,1302137,3,2569957,2569958,181769,2023-04-29 13:55:45.000,59,67,59,67,47,140,62.09,61.23,47.88,33.77,54.07,39.17,56.69,55.04,2,2023-04-30 00:12:45.220
DZ8084,647295,7516924,94.83,647422,7516928,88.89,1302161,4,2570005,2570006,181644,2023-04-29 13:16:28.000,201,109,201,109,126,134,788.58,416.65,53.52,39.31,246.48,540.02,287.87,223.69,1,2023-04-29 14:28:49.837
DZ8084,647294,7516924,95.15,647430,7516929,89.41,1302162,4,2570007,2570008,181644,2023-04-29 13:21:38.000,195,122,195,122,136,142,174.12,156.14,19.56,24.89,84.83,105.06,93.95,90.87,1,2023-04-29 14:28:50.450
DZ8084,647291,7516923,95.56,647436,7516930,89.38,1302163,4,2570009,2570010,181644,2023-04-29 13:26:55.000,197,121,197,121,144,147,168.53,152.14,35.07,30.37,93.8,112.05,86.85,93.41,1,2023-04-29 14:28:50.740
DZ8084,647291,7516923,95.8,647439,7516930,89.42,1302164,4,2570011,2570012,181644,2023-04-29 13:32:13.000,197,120,197,120,148,147,164.14,143.97,56.2,41.41,98.69,126.84,78.71,101.48,1,2023-04-29 14:28:51.040
DZ8084,647299,7516925,94.74,647438,7516930,89.44,1302165,4,2570013,2570014,181722,2023-04-29 13:37:30.000,176,109,176,109,139,136,123.29,112.09,62.8,41.59,92.76,108.69,56.19,82.13,1,2023-04-29 14:28:51.357
DZ8084,647294,7516925,95.59,647435,7516929,89.39,1302166,4,2570015,2570016,181722,2023-04-29 13:42:15.000,165,115,165,115,140,138,99.97,89.79,48.95,46.56,74.09,86.87,59.66,64.65,1,2023-04-29 14:28:51.550
DZ8084,647287,7516924,96.54,647416,7516928,87.92,1302167,4,2570017,2570018,181722,2023-04-29 13:47:32.000,182,205,173,124,128,148,149.86,118.04,54.01,62.03,106.01,119.11,92.78,66.04,1,2023-04-29 14:28:51.890
