NAME,StartEast,StartNorth,StartElv,EndEast,EndNorth,EndElv,CYCLE_ID,MACHINE_ID,START_COORD_ID,END_COORD_ID,SESSION_ID,TIME_START,FORWARD_TOTAL_TIME,REVERSE_TOTAL_TIME,FORWARD_MOVING_TIME,REVERSE_MOVING_TIME,FORWARD_DISTANCE,REVERSE_DISTANCE,CUT_POS,CUT_NEG,FILL_POS,FILL_NEG,CUT_TO_POS,CUT_TO_NEG,FILL_TO_POS,FILL_TO_NEG,VERSION,LAST_CHANGED
DZ2156,647297,7516801,90.53,647449,7516801,90.03,1302095,16,2569873,2569874,,2023-04-29 13:03:18.000,455,114,226,114,152,145,188.72,74.49,319.83,272.13,299.38,366.42,94.43,94.94,1,2023-04-29 13:42:39.130
DZ2156,647296,7516801,90.81,647442,7516801,89.84,1302096,16,2569875,2569876,,2023-04-29 13:12:47.000,211,115,211,115,146,147,93.26,36.76,218.94,204.27,191.28,218.03,79.5,64.42,1,2023-04-29 13:42:39.387
DZ2156,647295,7516801,90.88,647443,7516801,89.97,1302097,16,2569877,2569878,,2023-04-29 13:18:13.000,209,115,209,115,147,148,114.05,86.5,192.23,164.32,169.17,187.26,91.11,109.56,1,2023-04-29 13:42:39.607
DZ2156,647294,7516801,91.15,647351,7516801,84.08,1302098,16,2569879,2569880,,2023-04-29 13:27:30.000,94,39,94,39,57,52,105.04,66.37,232.44,190.64,174.33,198.71,96.97,124.48,1,2023-04-29 13:42:39.863
DZ2156,647328,7516800,86.8,647346,7516801,84.27,1302099,16,2569881,2569882,,2023-04-29 13:29:43.000,28,90,28,90,17,115,74.05,64.51,44.62,42.96,62.65,71.86,45.15,46.48,1,2023-04-29 13:42:40.000
DZ2157,647291,7516784,91.28,647449,7516784,90.27,1302117,15,2569917,2569918,,2023-04-29 13:05:01.000,427,92,212,92,157,120,70.25,14.85,153.32,115.26,138.1,162.7,22.81,30.07,1,2023-04-29 13:42:46.043
DZ2157,647291,7516775,90.4,647300,7516776,88.89,1302118,15,2569919,2569920,,2023-04-29 13:24:07.000,22,7,22,7,8,8,152.9,21.82,432.36,249.99,424.28,402.63,0.26,29.9,1,2023-04-29 13:42:46.673
DZ8032,647442,7516851,90.06,647442,7516851,90.08,1302102,1,2569887,2569888,181761,2023-04-29 13:10:46.000,50,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2023-04-29 13:42:41.187
DZ8032,647314,7516818,89.84,647328,7516818,87.32,1302103,1,2569889,2569890,181765,2023-04-29 13:24:11.000,19,17,19,17,14,16,82.98,1.66,373.86,158,358.22,237.8,3.18,17.3,2,2023-04-29 23:42:42.490
DZ8035,647339,7516834,84.99,647358,7516835,81.88,1302092,2,2569867,2569868,181764,2023-04-29 13:22:41.000,53,66,53,66,19,79,174.78,59.86,345.07,270.99,358.41,395.96,49.81,46.52,2,2023-04-29 23:42:38.430
DZ8035,647320,7516835,87.91,647320,7516835,87.94,1302093,2,2569869,2569870,181764,2023-04-29 13:29:26.000,0,0,0,0,0,0,84.33,48.92,208.79,204.09,213.33,253.2,35.22,44.38,2,2023-04-29 23:42:38.430
DZ8036,647282,7516897,95.71,647420,7516901,87.41,1302106,3,2569895,2569896,181766,2023-04-29 13:15:10.000,213,85,213,85,138,158,509.57,178.81,490.35,291.34,474.5,604.57,196.34,194.66,2,2023-04-29 23:42:45.253
DZ8036,647435,7516900,88.75,647438,7516901,88.83,1302107,3,2569897,2569898,181766,2023-04-29 13:20:21.000,6,3,6,3,2,2,11.94,2.17,21.19,10,23.36,21.94,0,0,2,2023-04-29 23:42:45.253
DZ8036,647430,7516899,88.36,647438,7516901,88.91,1302108,3,2569899,2569900,181766,2023-04-29 13:20:31.000,16,7,16,7,8,8,13.68,1.56,12.54,13.36,14.1,27.04,0,0,2,2023-04-29 23:42:45.253
DZ8036,647434,7516897,88.98,647439,7516903,88.92,1302109,3,2569901,2569902,181766,2023-04-29 13:23:27.000,19,9,19,9,8,9,89.83,42.9,96.39,70.52,139.29,160.35,0,0,2,2023-04-29 23:42:45.253
DZ8036,647441,7516890,90.41,647443,7516894,90.19,1302110,3,2569903,2569904,181766,2023-04-29 13:24:15.000,6,9,6,9,4,4,23.36,6.01,31.02,19.85,37.03,43.21,0,0,2,2023-04-29 23:42:45.253
DZ8036,647415,7516891,87.68,647431,7516891,89.12,1302111,3,2569905,2569906,181766,2023-04-29 13:26:06.000,23,28,23,28,15,20,119.35,59.36,90.79,42.31,150.15,161.66,0,0,2,2023-04-29 23:42:45.253
DZ8036,647427,7516891,88.37,647430,7516892,89.01,1302112,3,2569907,2569908,181766,2023-04-29 13:27:37.000,3,5,3,5,2,2,44.74,19.92,2.21,7.06,22.13,51.8,0,0,2,2023-04-29 23:42:45.253
DZ8036,647424,7516891,87.93,647430,7516892,89.21,1302113,3,2569909,2569910,181766,2023-04-29 13:27:54.000,8,6,8,6,6,6,16.28,8.66,1.83,2.54,10.49,18.82,0,0,2,2023-04-29 23:42:45.253
DZ8036,647415,7516899,86.72,647432,7516890,89.64,1302114,3,2569911,2569912,181766,2023-04-29 13:29:43.000,23,38,23,38,19,30,65.12,58.47,50.26,45.69,108.73,110.81,0,0,2,2023-04-29 23:42:45.253
DZ8084,647295,7516924,94.83,647422,7516928,88.89,1302161,4,2570005,2570006,181644,2023-04-29 13:16:28.000,201,109,201,109,126,134,788.58,416.65,53.52,39.31,246.48,540.02,287.87,223.69,1,2023-04-29 14:28:49.837
DZ8084,647294,7516924,95.15,647430,7516929,89.41,1302162,4,2570007,2570008,181644,2023-04-29 13:21:38.000,195,122,195,122,136,142,174.12,156.14,19.56,24.89,84.83,105.06,93.95,90.87,1,2023-04-29 14:28:50.450
DZ8084,647291,7516923,95.56,647436,7516930,89.38,1302163,4,2570009,2570010,181644,2023-04-29 13:26:55.000,197,121,197,121,144,147,168.53,152.14,35.07,30.37,93.8,112.05,86.85,93.41,1,2023-04-29 14:28:50.740
