NAME,StartEast,StartNorth,StartElv,EndEast,EndNorth,EndElv,CYCLE_ID,MACHINE_ID,START_COORD_ID,END_COORD_ID,SESSION_ID,TIME_START,FORWARD_TOTAL_TIME,REVERSE_TOTAL_TIME,FORWARD_MOVING_TIME,REVERSE_MOVING_TIME,FORWARD_DISTANCE,REVERSE_DISTANCE,CUT_POS,CUT_NEG,FILL_POS,FILL_NEG,CUT_TO_POS,CUT_TO_NEG,FILL_TO_POS,FILL_TO_NEG,VERSION,LAST_CHANGED
DZ2156,647433,7516801,89.8,647440,7516801,89.58,1302072,16,2569827,2569828,,2023-04-29 12:00:52.000,12,6,12,6,6,7,29.96,3.17,12.95,9.41,15.18,36.24,3.13,0.94,1,2023-04-29 12:12:46.503
DZ2156,647393,7516799,86.69,647429,7516801,89.97,1302084,16,2569851,2569852,,2023-04-29 12:14:25.000,52,28,52,28,35,33,309.92,30.74,582.26,457.39,577.23,732.09,35.22,35.77,1,2023-04-29 13:12:38.563
DZ2157,647295,7516784,90.98,647394,7516785,85.32,1302081,15,2569845,2569846,,2023-04-29 12:02:56.000,122,78,122,78,99,103,51.72,31.81,41.28,41.33,56.34,76.61,16.44,16.75,1,2023-04-29 12:12:56.900
DZ2157,647293,7516784,91.23,647398,7516784,85.67,1302082,15,2569847,2569848,,2023-04-29 12:06:16.000,138,89,138,89,105,115,63.29,35.19,69.65,46.07,67.11,96.04,13.32,37.73,1,2023-04-29 12:12:58.340
DZ8032,647305,7516851,88.95,647328,7516850,85.95,1302077,1,2569837,2569838,181757,2023-04-29 12:08:47.000,39,115,39,115,22,138,347.65,135.12,865.4,668.21,833.57,871.89,143.97,166.95,2,2023-04-29 22:12:54.123
DZ8035,647346,7516835,83.91,647375,7516834,82,1302083,2,2569849,2569850,181758,2023-04-29 12:13:15.000,46,17,46,17,28,17,224.92,81.35,469.18,296.63,253.2,308.89,212.66,297.33,2,2023-04-29 23:12:37.373
