NAME,StartEast,StartNorth,StartElv,EndEast,EndNorth,EndElv,CYCLE_ID,MACHINE_ID,START_COORD_ID,END_COORD_ID,SESSION_ID,TIME_START,FORWARD_TOTAL_TIME,REVERSE_TOTAL_TIME,FORWARD_MOVING_TIME,REVERSE_MOVING_TIME,FORWARD_DISTANCE,REVERSE_DISTANCE,CUT_POS,CUT_NEG,FILL_POS,FILL_NEG,CUT_TO_POS,CUT_TO_NEG,FILL_TO_POS,FILL_TO_NEG,VERSION,LAST_CHANGED
DZ2156,647300,7516818,90.37,647418,7516817,89.19,1301921,16,2569526,2569527,,2023-04-29 09:46:30.000,201,81,201,81,117,132,88.45,47.61,191.1,175.22,168.35,192.45,71.22,70.36,1,2023-04-29 10:12:37.550
DZ2156,647302,7516817,90.12,647361,7516818,81.99,1301922,16,2569528,2569529,,2023-04-29 09:53:13.000,95,71,95,71,58,114,103.68,84.05,156.24,144.38,178.82,197.58,50.48,61.47,1,2023-04-29 10:12:37.730
DZ2156,647307,7516818,89.54,647417,7516818,88.93,1301923,16,2569530,2569531,,2023-04-29 09:55:59.000,310,81,171,81,110,127,87.62,64.72,162.18,150.94,175.19,190.79,47.77,51.71,1,2023-04-29 10:12:37.947
DZ2156,647304,7516810,88.95,647328,7516809,86.04,1301978,16,2569640,2569641,,2023-04-29 10:12:33.000,36,161,36,45,24,41,183.65,25.99,105.61,77.43,94.49,195.56,65.52,37.11,1,2023-04-29 10:42:36.633
DZ2157,647316,7516793,89.13,647324,7516793,87.72,1301936,15,2569556,2569557,,2023-04-29 09:48:07.000,20,7,19,7,8,8,104.45,46.91,158.26,104.37,110.3,126.44,82.38,94.87,1,2023-04-29 10:12:44.013
DZ2157,647317,7516793,88.67,647441,7516793,90.08,1301937,15,2569558,2569559,,2023-04-29 09:53:25.000,162,190,162,54,123,84,102.45,43.22,300.62,213.22,125.83,157.13,158.54,218.01,1,2023-04-29 10:12:44.427
DZ2157,647303,7516793,90.89,647379,7516793,84.39,1302003,15,2569690,2569691,,2023-04-29 10:10:48.000,117,66,117,66,76,87,165.17,66.64,297.8,217.02,258.52,310.58,71.61,105.92,1,2023-04-29 10:42:42.500
DZ2157,647296,7516792,91.42,647390,7516793,85.18,1302004,15,2569692,2569693,,2023-04-29 10:13:51.000,143,78,143,78,93,102,48.4,27.32,76.64,61.61,77.17,94.83,15.18,26.79,1,2023-04-29 10:42:42.687
DZ8032,647319,7516842,87.81,647319,7516842,87.84,1301925,1,2569534,2569535,181742,2023-04-29 09:56:53.000,0,0,0,0,0,0,155,14.52,499.17,378.17,255.6,269.07,264.1,258.09,2,2023-04-29 20:12:40.647
DZ8032,647293,7516843,91.48,647368,7516842,81.31,1301926,1,2569536,2569537,181742,2023-04-29 10:02:44.000,151,105,151,105,75,128,110.36,39.98,523.65,434.67,498.24,513.42,31.61,65.39,2,2023-04-29 20:12:40.647
DZ8035,647407,7516860,83.96,647411,7516860,85.68,1301912,2,2569508,2569509,181741,2023-04-29 09:46:50.000,7,15,7,15,4,4,13.76,9.77,26.79,19.15,36.56,32.91,0,0,2,2023-04-29 20:12:36.430
DZ8035,647414,7516860,85.96,647441,7516859,89.71,1301913,2,2569510,2569511,181741,2023-04-29 09:48:06.000,28,37,28,37,27,25,38.01,16.18,32.84,37.26,49.02,75.27,0,0,2,2023-04-29 20:12:36.430
DZ8035,647409,7516859,84.33,647423,7516859,87.12,1301914,2,2569512,2569513,181741,2023-04-29 09:51:36.000,23,35,23,35,14,34,79.77,53.19,77.55,49.55,130.74,129.32,0,0,2,2023-04-29 20:12:36.430
DZ8035,647360,7516860,83.13,647377,7516859,81.84,1301915,2,2569514,2569515,181741,2023-04-29 09:56:26.000,26,31,25,31,16,35,65.18,44.44,318.83,224.73,330.42,284.79,5.12,32.85,2,2023-04-29 20:12:36.430
DZ8035,647379,7516860,82.52,647396,7516858,83.17,1301916,2,2569516,2569517,181741,2023-04-29 09:57:23.000,17,97,17,76,17,66,22.82,23.05,33.21,38.63,56.26,61.45,0,0,2,2023-04-29 20:12:36.430
DZ8035,647380,7516860,82.88,647446,7516859,89.87,1301917,2,2569518,2569519,181741,2023-04-29 09:59:17.000,116,60,116,60,65,65,93.03,61.71,71.15,70.56,132.86,163.59,0,0,2,2023-04-29 20:12:36.430
DZ8035,647363,7516859,83.18,647382,7516858,82.32,1301918,2,2569520,2569521,181741,2023-04-29 10:04:47.000,32,14,32,14,19,16,79.67,48.39,110.89,102.4,156.36,182,0.07,2.92,2,2023-04-29 20:12:36.430
DZ8035,647359,7516859,83.52,647374,7516858,81.98,1301919,2,2569522,2569523,181741,2023-04-29 10:06:12.000,17,73,17,73,14,77,38.09,38.55,71.81,60.56,94.03,96.01,2.64,16.33,2,2023-04-29 20:12:36.430
DZ8036,647433,7516950,89.39,647431,7516965,88.1,1301927,3,2569538,2569539,181743,2023-04-29 09:56:51.000,19,15,19,15,14,18,342.94,88.5,569.49,140.58,175.33,389.3,94.22,482.66,2,2023-04-29 20:12:43.200
DZ8036,647436,7516950,89.36,647431,7516969,87.75,1301928,3,2569540,2569541,181743,2023-04-29 09:57:25.000,24,14,24,14,19,15,208.28,22.83,0.23,0.59,23.06,208.87,0,0,2,2023-04-29 20:12:43.200
