NAME,StartEast,StartNorth,StartElv,EndEast,EndNorth,EndElv,CYCLE_ID,MACHINE_ID,START_COORD_ID,END_COORD_ID,SESSION_ID,TIME_START,FORWARD_TOTAL_TIME,REVERSE_TOTAL_TIME,FORWARD_MOVING_TIME,REVERSE_MOVING_TIME,FORWARD_DISTANCE,REVERSE_DISTANCE,CUT_POS,CUT_NEG,FILL_POS,FILL_NEG,CUT_TO_POS,CUT_TO_NEG,FILL_TO_POS,FILL_TO_NEG,VERSION,LAST_CHANGED
DZ2156,647316,7516818,87.22,647418,7516818,90.03,1301874,16,2569433,2569434,,2023-04-29 09:01:25.000,157,69,157,69,101,104,111.3,82.89,102.59,90.91,159.23,170.01,32.2,26.25,1,2023-04-29 09:12:36.967
DZ2156,647321,7516818,86.41,647421,7516818,90.39,1301875,16,2569435,2569436,,2023-04-29 09:05:11.000,161,74,161,74,99,103,105.99,90.33,85.39,75.98,133.25,134.32,47.65,42.47,1,2023-04-29 09:12:37.203
DZ2156,647330,7516817,85.58,647362,7516818,81.57,1301886,16,2569456,2569457,,2023-04-29 09:14:25.000,51,62,51,62,31,98,100.76,41.46,225.19,201.32,217.79,256.81,45.27,48.86,1,2023-04-29 09:42:36.690
DZ2156,647334,7516818,84.92,647429,7516818,89.99,1301887,16,2569458,2569459,,2023-04-29 09:16:18.000,157,60,157,60,94,104,62.07,45.49,157.15,141.07,155.51,156.05,47.09,47.13,1,2023-04-29 09:42:36.860
DZ2156,647339,7516817,84.14,647439,7516818,89.99,1301888,16,2569460,2569461,,2023-04-29 09:19:55.000,148,63,148,63,99,94,66.18,49.4,91.67,90.71,108.98,110.7,46.19,32.09,1,2023-04-29 09:42:37.030
DZ2156,647344,7516817,83.49,647433,7516817,89.68,1301889,16,2569462,2569463,,2023-04-29 09:23:26.000,124,50,124,50,89,94,96.89,54.52,60.41,61.07,72.15,100.53,57.43,42.78,1,2023-04-29 09:42:37.200
DZ2156,647346,7516817,83.07,647438,7516818,90.06,1301890,16,2569464,2569465,,2023-04-29 09:26:20.000,131,49,131,49,91,94,93.58,74.21,63.38,60.06,76.06,92.02,61.62,61.53,1,2023-04-29 09:42:37.400
DZ2157,647405,7516792,88.24,647414,7516793,88.63,1301877,15,2569438,2569439,,2023-04-29 09:01:47.000,13,8,13,8,8,8,148.19,23.94,98.86,69.41,122.8,217.6,0,0,1,2023-04-29 09:12:40.930
DZ2157,647339,7516793,85.77,647404,7516793,87.57,1301878,15,2569440,2569441,,2023-04-29 09:07:17.000,68,33,68,33,64,64,123.63,24.71,200.45,139.54,178.2,224.69,38.48,46.96,1,2023-04-29 09:12:41.237
DZ2157,647341,7516793,85.6,647403,7516793,87.56,1301900,15,2569484,2569485,,2023-04-29 09:08:58.000,155,33,74,33,62,63,33.61,16.81,24.09,14.15,22.98,39.92,7.84,17.92,1,2023-04-29 09:42:43.320
DZ2157,647338,7516793,85.94,647405,7516793,87.86,1301901,15,2569486,2569487,,2023-04-29 09:12:06.000,78,37,78,37,67,70,54.76,16.87,56.26,25.09,33.29,52,27.85,39.84,1,2023-04-29 09:42:43.453
DZ2157,647336,7516793,86.31,647408,7516793,88.38,1301902,15,2569488,2569489,,2023-04-29 09:14:01.000,91,40,91,40,72,74,51.46,35.63,52.1,35.29,56.01,64.56,22.19,31.72,1,2023-04-29 09:42:43.583
DZ2157,647331,7516793,87.08,647429,7516793,89.41,1301903,15,2569490,2569491,,2023-04-29 09:18:58.000,127,47,127,47,98,86,136.98,83.04,149.84,108.53,145.48,194.25,51.26,87.4,1,2023-04-29 09:42:43.860
DZ2157,647330,7516793,87.12,647418,7516793,89.04,1301904,15,2569492,2569493,,2023-04-29 09:21:52.000,110,49,110,49,87,91,95.07,62.26,41.33,36.27,55.79,83.07,48.27,47.8,1,2023-04-29 09:42:43.983
DZ2157,647329,7516793,87.31,647421,7516793,88.9,1301905,15,2569494,2569495,,2023-04-29 09:24:31.000,97,48,97,48,92,88,73.35,71.28,41.87,34.35,70.48,73.63,34.07,42.67,1,2023-04-29 09:42:44.133
DZ2157,647328,7516793,87.3,647417,7516793,88.93,1301906,15,2569496,2569497,,2023-04-29 09:26:56.000,102,49,102,49,88,92,68.84,64.62,56.09,35.32,64.22,70.1,34.06,56.49,1,2023-04-29 09:42:44.280
DZ2157,647326,7516793,87.67,647421,7516793,88.92,1301907,15,2569498,2569499,,2023-04-29 09:29:27.000,117,56,117,56,95,107,76.01,62.1,67.63,43.88,76.14,96.23,23.66,53.59,1,2023-04-29 09:42:44.420
DZ8032,647465,7517251,116.82,647465,7517251,116.82,1301876,1,2569437,2569437,181736,2023-04-29 09:03:21.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2023-04-29 19:12:39.160
DZ8032,647445,7516842,90.1,647449,7516843,90.66,1301891,1,2569466,2569467,181738,2023-04-29 09:23:10.000,7,4,7,4,4,4,228.91,40.79,26.81,22.79,45.91,221.55,30.15,21.69,2,2023-04-29 19:42:40.907
DZ8032,647437,7516842,89.64,647439,7516842,89.72,1301892,1,2569468,2569469,181738,2023-04-29 09:26:35.000,3,3,3,3,2,2,29.26,3.42,90.73,41.19,94.15,70.45,0,0,2,2023-04-29 19:42:40.907
DZ8032,647418,7516843,89.26,647434,7516842,89.94,1301893,1,2569470,2569471,181738,2023-04-29 09:28:12.000,32,21,32,21,16,22,62.44,22.99,186.97,129.76,209.96,192.2,0,0,2,2023-04-29 19:42:40.907
DZ8032,647415,7516842,88.88,647443,7516842,90.05,1301894,1,2569472,2569473,181738,2023-04-29 09:29:26.000,43,22,43,22,27,24,50.21,38.64,69.26,39.49,107.9,89.7,0,0,2,2023-04-29 19:42:40.907
DZ8035,647301,7516867,89.92,647410,7516868,85.34,1301865,2,2569415,2569416,181734,2023-04-29 09:02:27.000,184,195,184,148,109,139,189.64,59.36,666.29,526.26,494.85,533.61,182.29,230.8,2,2023-04-29 19:12:35.317
DZ8035,647414,7516867,86.18,647440,7516866,89.77,1301866,2,2569417,2569418,181734,2023-04-29 09:08:46.000,29,34,29,34,26,27,15.74,7.91,28.05,29.54,35.67,44.59,0.69,0.29,2,2023-04-29 19:12:35.317
DZ8035,647381,7516869,82.46,647401,7516867,83.25,1301879,2,2569442,2569443,181737,2023-04-29 09:16:26.000,38,22,31,22,19,20,62.34,26.89,252.56,185.72,268.22,242.33,5.73,11.23,2,2023-04-29 19:42:35.893
DZ8035,647307,7516867,89.03,647404,7516868,83.76,1301880,2,2569444,2569445,181737,2023-04-29 09:22:46.000,163,64,163,64,97,99,120.06,59.31,322.86,323.38,327.04,389.77,53.67,55.13,2,2023-04-29 19:42:35.893
DZ8084,647291,7516902,92.39,647383,7516901,84.31,1301962,4,2569608,2569609,181644,2023-04-29 09:01:56.000,117,114,117,114,91,147,146.42,121.92,32.15,27.75,76.33,105.08,69.09,77.74,1,2023-04-29 10:15:41.917
DZ8084,647294,7516902,92.07,647439,7516903,90.6,1301963,4,2569610,2569611,181644,2023-04-29 09:05:47.000,199,119,199,119,145,144,164.32,141.06,27.41,28.57,86.62,114.79,78.1,81.85,1,2023-04-29 10:15:42.130
DZ8084,647297,7516902,91.71,647438,7516903,90.54,1301964,4,2569612,2569613,181644,2023-04-29 09:11:05.000,201,107,201,107,141,141,151.97,144.73,34.4,31.95,95.38,112.72,71.2,83.75,1,2023-04-29 10:15:42.320
DZ8084,647301,7516902,91.24,647438,7516903,90.6,1301965,4,2569614,2569615,181644,2023-04-29 09:16:13.000,319,113,181,113,137,139,142.5,110.12,41.68,34.77,84.58,115.24,62.03,67.22,1,2023-04-29 10:15:42.747
