NAME,StartEast,StartNorth,StartElv,EndEast,EndNorth,EndElv,CYCLE_ID,MACHINE_ID,START_COORD_ID,END_COORD_ID,SESSION_ID,TIME_START,FORWARD_TOTAL_TIME,REVERSE_TOTAL_TIME,FORWARD_MOVING_TIME,REVERSE_MOVING_TIME,FORWARD_DISTANCE,REVERSE_DISTANCE,CUT_POS,CUT_NEG,FILL_POS,FILL_NEG,CUT_TO_POS,CUT_TO_NEG,FILL_TO_POS,FILL_TO_NEG,VERSION,LAST_CHANGED
DZ2156,647345,7516842,83.53,647424,7516843,90.52,1300636,16,2566982,2566983,,2023-04-28 06:05:16.000,125,94,125,70,78,83,164.38,57.24,477.66,365.71,334.39,377.72,152.37,200.51,1,2023-04-28 06:12:30.403
DZ2156,647297,7516843,89.35,647435,7516843,91.7,1300669,16,2567048,2567049,,2023-04-28 06:13:36.000,201,69,201,69,138,102,124.4,34.9,417.46,345.33,273.99,310.24,159.49,178.37,1,2023-04-28 06:42:31.657
DZ2156,647299,7516843,89.12,647400,7516842,83.16,1300670,16,2567050,2567051,,2023-04-28 06:18:06.000,137,104,137,104,100,139,53.18,37.89,167.9,165.81,107.57,129.43,89.56,98.22,1,2023-04-28 06:42:31.937
DZ2156,647305,7516842,88.64,647391,7516842,81.58,1300671,16,2567052,2567053,,2023-04-28 06:29:27.000,102,100,102,100,86,131,149.38,117.17,340.71,299.46,282.26,301.5,147.34,175.62,1,2023-04-28 06:42:32.447
DZ2156,647307,7516843,88.47,647437,7516843,91.47,1300672,16,2567054,2567055,,2023-04-28 06:32:49.000,179,97,179,97,129,132,89.76,72.87,180.32,182.01,158.22,166.11,105.66,94.97,1,2023-04-28 06:42:32.640
DZ2156,647311,7516842,87.75,647440,7516843,91.9,1300673,16,2567056,2567057,,2023-04-28 06:37:25.000,188,51,188,51,128,73,52.52,52.42,147.61,141.35,117.49,115.03,78.84,82.54,1,2023-04-28 06:42:32.807
DZ2156,647425,7516834,91.86,647439,7516835,91.95,1300711,16,2567134,2567135,,2023-04-28 06:44:14.000,20,8,19,8,13,14,125.46,27.28,62.11,56.82,58.63,147.38,34.9,30.76,1,2023-04-28 07:12:31.400
DZ2157,647338,7516892,85.59,647441,7516892,92.26,1300656,15,2567022,2567023,181562,2023-04-28 06:03:32.000,137,70,137,70,102,101,135.96,116.65,175.64,147.37,222.77,213.32,70.01,69.52,2,2023-04-28 16:12:37.897
DZ2157,647344,7516892,84.84,647439,7516892,92.43,1300657,15,2567024,2567025,181562,2023-04-28 06:06:59.000,125,109,125,76,95,95,73.13,66.16,61.87,57.71,102.93,112.21,18.63,25.1,2,2023-04-28 16:12:37.897
DZ2157,647301,7516876,88.24,647401,7516876,85.69,1300701,15,2567112,2567113,181566,2023-04-28 06:24:57.000,133,69,133,69,100,99,126.82,29.53,262.49,172.53,174.8,221.89,77.46,117.22,2,2023-04-28 16:42:41.570
